rank,city,state,dox,ground,citizen,start_pct,start_rank
427,Abohar,Punjab,0.040935673,0.329571429,0.343422788,20.38407465,427
311,Achalpur,Maharashtra,0.225438596,0.507985714,0.506637497,38.04350458,311
195,Adilabad,Telangana,0.406959064,0.785142857,0.411959268,50.30050735,195
144,Adityapur,Jharkhand,0.607836257,0.356214286,0.659595154,56.04584334,144
224,Adoni,Andhra Pradesh,0.509298246,0.457714286,0.41145496,46.70492702,224
290,Agartala,Tripura,0.370584795,0.463428571,0.400662491,40.28190478,290
263,Agra,Uttar Pradesh,0.42877193,0.481571429,0.420207114,43.940236,263
183,Ahmednagar,Maharashtra,0.565204678,0.530464286,0.43303572,51.68688926,183
105,Aizawl,Mizoram,0.595146199,0.556892857,0.679367415,61.08492283,105
226,Ajmer,Rajasthan,0.368245614,0.495625,0.580601737,46.37972974,226
333,Akbarpur,Uttar Pradesh,0.248654971,0.595571429,0.330015585,35.97922697,333
296,Akola,Maharashtra,0.383040936,0.413646825,0.411321329,39.91765262,296
380,Alappuzha,Kerala,0.141325536,0.435428571,0.424684394,29.98589522,380
145,Aligarh,Uttar Pradesh,0.670760234,0.555220238,0.393374522,55.86595214,145
247,Allahabad,Uttar Pradesh,0.571695906,0.311571429,0.372089015,44.67827195,247
364,Alwar,Rajasthan,0.217251462,0.378392857,0.422149291,31.90061595,364
308,Ambala Sadar,Haryana,0.319239766,0.457410714,0.428081228,38.64349416,308
89,Ambarnath,Maharashtra,0.614853801,0.827553571,0.507726303,63.58904941,89
15,Ambikapur,Chattisgarh,0.865204678,0.746142857,0.835844407,82.66311415,15
267,Ambur,Tamil Nadu,0.328654971,0.565392857,0.487332404,43.54426724,267
14,Amdavad,Gujarat,0.896088887,0.9112,0.658228521,82.85085555,14
231,Amravati,Maharashtra,0.517875244,0.409730159,0.418858225,46.11338671,231
123,Amreli,Gujarat,0.683274854,0.406857143,0.618298324,59.46774673,123
258,Amritsar,Punjab,0.550292398,0.374742857,0.333576144,44.13901366,258
393,Amroha,Uttar Pradesh,0.231169591,0.297321429,0.34953904,28.32183852,393
103,Anand,Gujarat,0.724444444,0.445809524,0.583363167,61.24613309,103
213,Ananthapuramu,Andhra Pradesh,0.438304094,0.641410714,0.412323892,48.12866884,213
197,Anantnag,Jammu and Kashmir,0.424853801,0.481714286,0.633128979,50.15514757,197
390,Arrah,Bihar,0.247134503,0.30225,0.339152733,28.85188463,390
299,"Aurangabad, MH",Maharashtra,0.419688109,0.294880952,0.448011129,39.69832258,299
357,"Aurangabad, BR",Bihar,0.141520468,0.365285714,0.573232461,32.69753774,357
169,Avadi,Tamil Nadu,0.616684622,0.57630754,0.376546645,53.45489584,169
252,Ayodhya,Uttar Pradesh,0.35,0.647214286,0.420050969,44.53188622,252
398,Azamgarh,Uttar Pradesh,0.177777778,0.379928571,0.327542219,27.32448086,398
388,Badami,Karnataka,0.143274854,0.480035714,0.362912411,29.33563361,388
420,Badaun,Uttar Pradesh,0.194912281,0.223785714,0.347283002,24.78418556,420
432,Bagaha,Bihar,0.073684211,0.232047619,0.307056238,18.32866711,432
203,Bagalkote,Karnataka,0.437641326,0.57675,0.493868105,48.92865282,203
353,Bahadurgarh,Haryana,0.13497076,0.621678571,0.386660935,33.21547653,353
429,Bahraich,Uttar Pradesh,0.102923977,0.223714286,0.320060349,19.82624659,429
190,Balasore,Odisha,0.47619883,0.651678571,0.443333311,51.02091096,190
283,Ballari,Karnataka,0.330877193,0.593982143,0.387287221,41.35764389,283
361,Ballia,Uttar Pradesh,0.232748538,0.459047619,0.341748201,32.20232072,361
385,Banda,Uttar Pradesh,0.163157895,0.4475,0.369760967,29.62243429,385
354,Baran,Rajasthan,0.210994152,0.380785714,0.473236446,33.21147307,354
421,Baraut,Uttar Pradesh,0.033333333,0.349428571,0.474593377,24.47351557,421
298,Bareilly,Uttar Pradesh,0.359824561,0.492714286,0.377793806,39.84377658,298
261,Baripada Town,Odisha,0.319005848,0.580714286,0.504631892,44.01207707,261
284,Barnala,Punjab,0.345087719,0.573607143,0.370448084,40.98256845,284
